"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
12995,2010,"FORD","EXPEDITION LIMITED","            181078","            automatic","            clean",NA,"            4wd","            gas",NA,NA
5500,1999,"saab","9-3","            85000","            manual","            clean",NA,NA,"            gas",NA,NA
38000,2015,"jeep","lifted wrangler unlimited","            39000","            automatic","            clean",NA,NA,"            gas","           paint color: red",NA
6499,2013,"Kia","Forte EX","            124984","            automatic","            clean",NA,"            fwd","            gas","           paint color: silver",NA
2200,2005,"Ford","",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
11988,2010,"Nissan","Altima","            75915","            automatic","            clean",NA,"            fwd","            gas","           paint color: custom",NA
7000,2009,"Nissan","Altima","            116100","            automatic","            clean","            excellent","            fwd","            gas",NA,NA
5999,2009,"Dodge","Journey SE","            114533","            automatic","            clean",NA,"            fwd","            gas","           paint color: blue",NA
28991,2011,"Cadillac","Escalade","            94135","            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
32999,2011,"Toyota","Lifted Tundra Platinum","            107686","            automatic","            clean",NA,"            4wd","            gas","           paint color: silver",NA
4499,2001,"Acura","TL 3.2","            134382","            automatic","            clean",NA,"            fwd","            gas","           paint color: white",NA
5700,2008,"scion","xb","            120000","            automatic","            clean",NA,NA,"            gas",NA,NA
18500,2010,"BMW","335","            67510","            automatic","            clean","            excellent","            4wd","            gas","           paint color: black","            compact"
NA,2010,"kia","sedona",NA,"            automatic","            salvage",NA,NA,"            gas",NA,NA
11984,2011,"Mitsubishi","Endeavor","            64522","            automatic","            clean",NA,"            ","            gas","           paint color: white",NA
9400,2008,"ford","mustang gt","            74400","            manual","            rebuilt","            excellent","            rwd","            gas","           paint color: red","            full-size"
8999,2006,"Nissan","Pathfinder","            140193","            automatic","            clean",NA,"            4wd","            gas",NA,NA
7499,2007,"Ford","Escape XLS","            99419","            automatic","            clean",NA,"            fwd","            gas","           paint color: white",NA
4999,2008,"Mazda","Mazda6 GT","            122472","            automatic","            clean",NA,"            fwd","            gas",NA,NA
NA,2014,"toyota","camry",NA,"            automatic","            salvage",NA,NA,"            gas",NA,NA
4500,1973,"Chevrolet","K10",NA,"            automatic","            clean","            good","            4wd","            gas","           paint color: red","            full-size"
7600,2013,"Hyundai","Elantra","            57000","            automatic","            rebuilt","            excellent","            fwd","            gas","           paint color: white","            full-size"
NA,2000,"lexus","es 300",NA,"            automatic","            salvage",NA,NA,"            gas",NA,NA
3999,2006,"Chevrolet","Impala LS","            120819","            automatic","            clean",NA,"            fwd","            other","           paint color: blue",NA
4500,2002,"jeep","liberty 4x4","            151000","            automatic","            clean","            good","            4wd","            gas","           paint color: green",NA
11777,2016,"Nissan","Versa 1.6 SV",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: white",NA
9500,1997,"ford","f250 super duty",NA,"            automatic","            clean","            good","            4wd","            diesel","           paint color: green","            full-size"
4488,2001,"Isuzu","Rodeo","            136000","            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
2999,2002,"Chrysler","Sebring","            143698","            automatic","            clean",NA,"            fwd","            gas","           paint color: custom",NA
6500,2003,"Liconln","Navigator","            176000","            automatic","            clean","            excellent","            4wd","            gas","           paint color: silver","            full-size"
3500,1964,"Ford","F100",NA,"            manual","            clean","            good","            4wd","            gas","           paint color: blue","            full-size"
12977,2014,"Volkswagen","Jetta SE PZEV",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: red",NA
5999,2007,"Pontiac","Grand Prix","            105162","            automatic","            clean",NA,"            fwd","            gas","           paint color: silver",NA
1800,2004,"Ford","focus",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: silver","            compact"
6200,2006,"dodge","magnum","            86500","            automatic","            clean","            excellent","            rwd","            gas","           paint color: silver",NA
3400,2004,"alero","oldsmobile","            68200","            automatic","            clean","            excellent","            fwd","            gas",NA,NA
700,2000,"hyndai","accent",NA,"            automatic","            clean","            fair","            fwd","            gas","           paint color: blue","            compact"
32877,2014,"Jeep","Wrangler Unlimited Sport",NA,"            automatic","            clean",NA,"            4wd","            gas","           paint color: grey",NA
3650,1997,"Geo","Tracker 4x4","            130000","            automatic","            clean","            excellent","            4wd","            gas","           paint color: red","            compact"
8999,2004,"Toyota","Sequoia Limited","            198088","            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
46999,2012,"Dodge","Lifted Ram Deisel CUMMINS","            52755","            automatic","            clean",NA,"            4wd","            diesel","           paint color: black",NA
5998,2006,"Mazda","Mazda6 i",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
21950,2013,"Ford","Explorer XLT 4WD","            68201","            automatic","            clean",NA,NA,"            other","           paint color: silver",NA
13988,2014,"Hyundai","Elantra","            24635","            automatic","            clean",NA,"            fwd","            gas","           paint color: custom",NA
5998,2009,"Volkswagen","Jetta SEL",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
13999,2013,"Dodge","Grand Caravan","            76135","            automatic","            clean",NA,"            fwd","            other","           paint color: black",NA
11477,2015,"Kia","Rio LX",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: white",NA
7400,2012,"Kia","soul","            61000","            manual","            clean","            excellent","            fwd","            gas",NA,NA
12998,2014,"Jeep","Patriot Sport 4x4",NA,"            manual","            clean",NA,NA,"            gas",NA,NA
17198,2011,"Chrysler","300 Limited",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
4999,2003,"Honda","Accord","            216417","            automatic","            clean",NA,"            fwd","            gas",NA,NA
28777,2012,"Ford","F-250 Super Duty XLT",NA,"            automatic","            clean",NA,"            4wd","            other","           paint color: silver",NA
17998,2013,"Buick","Encore Premium",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
3300,1998,"chevy","s10 pickup","            133200","            automatic","            clean","            good","            rwd","            gas","           paint color: white",NA
16887,2011,"Buick","LaCrosse","            43356","            automatic","            clean",NA,"            fwd","            gas","           paint color: custom",NA
27977,2006,"Chevrolet","Silverado 3500 LT1 4dr",NA,"            automatic","            clean",NA,"            4wd","            diesel","           paint color: white",NA
18199,2014,"Honda","Accord","            10347","            automatic","            clean",NA,"            fwd","            gas","           paint color: custom",NA
2900,2003,"Kia","",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
2250,2006,"chrysler","sebring 4-door","            156000","            automatic","            clean","            good","            fwd","            gas","           paint color: blue","            full-size"
2200,1993,"jeep","grand cherokee",NA,"            automatic","            clean",NA,NA,"            gas","           paint color: grey",NA
2500,1996,"Chevy","Tahoe","            214","            automatic","            clean","            good","            4wd","            gas",NA,NA
4200,1992,"Toyota","Tacoma","            231000","            manual","            clean","            good","            4wd","            gas","           paint color: white","            mid-size"
19777,2013,"Toyota","Avalon Hybrid XLE Touring",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: white",NA
2700,2006,"buick","lucerne cxl v6","            200000","            automatic","            clean","            good","            fwd","            gas","           paint color: brown","            full-size"
