"Year","Make","Model","Trim","Body","Mileage","VIN","TitleType","ExteriorColor","InteriorColor","Transmission","Price"
1994,"Honda","Civic","","Sedan",160000,"JHMEG8557RS003725","CleanTitle","","","Manual","$2,200"
2001,"Honda","Civic","EX","Sedan",178600,"1HGES25711L035875","CleanTitle","Blue","Gray","Manual","$3,500"
2017,"Honda","Civic","LX","Sedan",11,"19XFC2F52HE023704","","Silver","Black","Automatic","$19,222"
2017,"Honda","Civic","LX","Sedan",11,"19XFC2F51HE024066","","Silver","Black","Automatic","$19,222"
2017,"Honda","Civic","EX","Sedan",11,"19XFC2F71HE018642","","White","Black","Automatic","$20,718"
2009,"Honda","Civic","EX-L","Sedan",115000,"2HGFA16979H330756","CleanTitle","Gray","Gray","Automatic","$7,990"
2017,"Honda","Civic","EX-T","Sedan",7,"19XFC1F30HE013164","","Blue","","Automatic","$21,803"
2017,"Honda","Civic","EX-T","Sedan",7,"19XFC1F36HE012536","","Black","","Automatic","$21,803"
2017,"Honda","Civic","LX","Sedan",7,"19XFC2F50HE025743","","","Black","Automatic","$19,222"
2012,"Honda","Civic","LX","Coupe",52800,"2HGFG3B59CH551335","Rebuilt/ReconstructedTitle","Black","Gray","Automatic","$8,399"
2017,"Honda","Civic","EX","Sedan",11,"19XFC2F77HE028348","","Silver","Black","Automatic","$20,718"
2017,"Honda","Civic","EX","Sedan",11,"19XFC2F75HE027618","","","Black","Automatic","$20,718"
2017,"Honda","Civic","EX","Sedan",2898,"2HGFC2F76HH502201","","Red","Black/Gray","Automatic","$19,500"
2017,"Honda","Civic","LX","Sedan",11,"19XFC2F52HE034122","","Black","Black","Automatic","$19,222"
2013,"Honda","Civic","LX","Sedan",20049,"2HGFB2F57DH580837","CleanTitle","Silver","","Automatic","$12,595"
2010,"Honda","Civic","EX","Coupe",117596,"2HGFG1B83AH535014","","Silver","","Automatic","$7,900"
2017,"Honda","Civic","EX","Sedan",11,"19XFC2F70HE003095","","Black","Black","Automatic","$20,678"
2017,"Honda","Civic","SportTouring","Hatchback",11,"SHHFK7H93HU218378","","Red","Black","Automatic","$28,675"
2013,"Honda","Civic","LX","Sedan",29141,"19XFB2F54DE098417","","Bronze","Beige","Automatic","$12,995"
