"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
1500,2005,"Nissan","",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
2900,2009,"pontiac","g6","            125000","            automatic","            clean",NA,NA,"            gas",NA,NA
2900,2001,"ford","f150",NA,"            automatic","            clean","            excellent",NA,"            gas","           paint color: blue","            full-size"
5500,2001,"Chevrolet","Tahoe LT","            150000","            automatic","            clean","            good","            rwd","            gas","           paint color: black","            full-size"
12500,2004,"Hummer","H2","            120000","            automatic","            clean","            excellent","            4wd","            gas","           paint color: black","            full-size"
899,2005,"Mercury","Grand Marquis","            93659","            automatic","            clean","            excellent","            rwd","            gas",NA,NA
2000,2002,"cadillac","",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
7950,2005,"mercedes","benz c230 kompressor","            74000","            automatic","            clean","            like new","            rwd","            gas","           paint color: silver","            mid-size"
8250,2007,"Mercedes","Benz e550","            149000","            automatic","            clean","            excellent","            rwd","            gas","           paint color: black",NA
12000,2005,"ford","f250 super duty",NA,"            automatic","            clean","            excellent","            4wd","            diesel",NA,NA
7500,2008,"infinity","g35","            136000","            automatic","            clean","            like new",NA,"            gas",NA,NA
23397,2010,"Ford","F-150","            78401","            automatic","            clean",NA,"            4wd","            gas","           paint color: black","            full-size"
5300,2002,"GMC","ENVOY","            108557","            automatic","            clean","            excellent",NA,"            gas",NA,"            full-size"
1200,2002,"cavalier","",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
26995,2012,"Ford","F-150","            71751","            automatic","            clean",NA,"            4wd","            gas","           paint color: white","            full-size"
4900,1998,"Mercedes","slk230","            1653214","            automatic","            clean","            excellent","            rwd","            gas","           paint color: blue","            compact"
13999,2010,"Nissan","Armada SE 4x2 4dr SUV","            93368","            automatic","            clean",NA,"            rwd","            other","           paint color: black",NA
2499,2011,"Jeep","PATRIOT","            49294","            automatic","            clean","            excellent",NA,"            gas",NA,NA
3900,1998,"chevrolet","c1500","            67000","            automatic","            clean",NA,NA,"            gas",NA,NA
4250,1988,"ford","mustang foxbody",NA,"            manual","            clean",NA,NA,"            gas",NA,NA
7598,2011,"Mazda","Mazda6","            107986","            automatic","            clean",NA,"            fwd","            gas",NA,NA
30376,2013,"BMW","X5 xDrive50i","            44852","            automatic","            clean",NA,NA,"            gas","           paint color: black",NA
7998,2012,"Nissan","Versa","            58834","            automatic","            clean",NA,"            fwd","            gas",NA,NA
825,2002,"Honda","",NA,"            other","            clean",NA,NA,"            gas",NA,NA
9800,1991,"Chevy","Silverado step side","            180000","            manual","            clean","            excellent","            rwd","            gas","           paint color: silver","            full-size"
NA,1998,"bmw","m3",NA,"            automatic","            clean","            good",NA,"            gas",NA,NA
NA,2016,"RAM","1500",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
13900,2016,"Toyota","Corolla","            43000","            automatic","            clean","            excellent",NA,"            gas",NA,NA
9500,2014,"Mazda","3",NA,"            automatic","            rebuilt",NA,NA,"            gas",NA,NA
500,1991,"oldsmobile","cutless",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
2600,1999,"Ford","E150","            129000","            automatic","            clean","            good","            rwd","            gas","           paint color: red","            full-size"
3900,2005,"toyota","corolla",NA,"            automatic","            clean","            good",NA,"            gas","           paint color: blue",NA
500,1987,"GMC","S15",NA,"            automatic","            clean","            excellent","            fwd","            gas","           paint color: white",NA
5700,2006,"chrysler","300c","            145000","            automatic","            clean","            excellent","            rwd","            gas","           paint color: black","            full-size"
3750,2004,"mazda","rx-8","            157000","            automatic","            clean","            good",NA,"            gas",NA,NA
1499,2005,"Lincoln","Town Car","            53864","            automatic","            clean","            excellent","            rwd","            gas",NA,NA
3300,2004,"Volkswagon","Passat",NA,"            automatic","            clean","            excellent",NA,"            gas",NA,NA
1499,1993,"chevrolet","lumina",NA,"            automatic","            clean","            excellent","            fwd","            diesel","           paint color: custom","            compact"
9200,2008,"Mercedes","Benz c300 sport","            121000","            automatic","            clean",NA,NA,"            gas",NA,NA
NA,2008,"Chevy","Silverado 1500",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
1800,2007,"front","head restraints",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: silver","            full-size"
1000,2005,"chevrolet","impala",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
1000,2011,"Chevy","Silverado",NA,"            automatic","            missing","            excellent",NA,"            gas",NA,NA
2500,2003,"dodge","ram",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
4900,2002,"ford","sport trac","            165000","            manual","            clean","            excellent","            rwd","            gas","           paint color: blue",NA
5100,1996,"ford","f-150 xlt","            202000","            manual","            clean","            excellent","            rwd","            gas","           paint color: white",NA
11085,2014,"f150","",NA,"            automatic","            clean","            like new","            4wd","            gas","           paint color: blue",NA
25000,1927,"Dodge","Coupe","            4","            manual","            clean","            excellent",NA,"            gas",NA,NA
10995,2015,"Kia","Forte LX","            16766","            automatic","            clean",NA,"            fwd","            gas","           paint color: black",NA
4600,2006,"chevy","equinox","            138000","            automatic","            clean","            excellent","            fwd","            gas","           paint color: silver",NA
NA,1988,"Chevy","blazer",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
11950,2013,"kia","optima 4dr sdn LX, GDI","            70231","            automatic","            clean","            like new","            fwd","            gas","           paint color: white","            full-size"
1499,2008,"Pontiac","G6","            74491","            automatic","            clean","            excellent",NA,"            gas",NA,NA
4000,2005,"Acura","tl","            163000","            automatic","            clean","            good",NA,"            gas",NA,NA
14950,2014,"Ford","C-Max Energi","            41451","            automatic","            clean","            like new","            fwd","            hybrid","           paint color: white","            mid-size"
7800,2009,"Honda","Civic EX","            70000","            automatic","            clean","            excellent",NA,"            gas","           paint color: silver","            mid-size"
18900,2013,"2013","Toyota Rav4 Limited","            60132","            automatic","            clean","            like new","            fwd","            gas","           paint color: white","            full-size"
2500,2002,"mitsubishi","lancer es",NA,"            automatic","            clean","            excellent","            fwd","            gas","           paint color: white","            full-size"
7950,2009,"mini","cooper base 2dr hatchback","            80206","            manual","            clean","            good","            fwd","            gas","           paint color: grey","            sub-compact"
17995,2009,"chevrolet","1500 silverado",NA,"            automatic","            clean","            excellent","            4wd","            gas","           paint color: white",NA
3900,2004,"ford","freestar","            128000","            automatic","            clean","            excellent","            fwd","            gas","           paint color: white",NA
20900,2014,"2014","BMW I3","            19790","            automatic","            clean","            like new","            fwd","            electric","           paint color: white","            sub-compact"
3100,2001,"GMC","yukon","            220","            automatic","            clean","            good",NA,"            gas",NA,NA
