Year,Make,Model,transmission,mileage,price,Year,Make,Model
1985,chevy,monte carlo ,            automatic,NA,9000,1985,chevy,monte carlo
1989,chevy,suburban 1500 ,            automatic,100,1000,1989,chevy,suburban 1500
1996,Toyota,Tacoma  ,            automatic,NA,4650,1996,Toyota,Tacoma
1985,Toyota,Tercel  ,            manual,NA,1000,1985,Toyota,Tercel
2012,Ford,Transit Connect van,            automatic,170000,6500,2012,Ford,Transit Connect van
2000,lincoln,navigator 4wd ,            manual,NA,2000,2000,lincoln,navigator 4wd
2003,Toyota,Camry  ,            automatic,260000,4300,2003,Toyota,Camry
1999,ford,windstar  ,            automatic,147000,500,1999,ford,windstar
2004,Inifiniti,G35  ,            manual,125000,9500,2004,Inifiniti,G35
2000,ford,taurus se ,            automatic,180000,2000,2000,ford,taurus se
2012,Kenworth,T700  ,            other,NA,NA,2012,Kenworth,T700
2005,honda,pilot ex ,            automatic,151721,5000,2005,honda,pilot ex
1996,dodge,ram  ,            automatic,200000,3300,1996,dodge,ram
2007,Hyundai,elantra  ,            automatic,225000,1000,2007,Hyundai,elantra
1979,chevrolet,suburban  ,            automatic,NA,6950,1979,chevrolet,suburban
1995,Pontiac,Grand Prix ,            automatic,155000,NA,1995,Pontiac,Grand Prix
2005,Chevy,aveo  ,            automatic,NA,3700,2005,Chevy,aveo
1995,bmw,525i  ,            automatic,370000,800,1995,bmw,525i
2006,toyota,sienna  ,            automatic,NA,2000,2006,toyota,sienna
2005,kia,spectra  ,            automatic,163951,3000,2005,kia,spectra
2001,Ford,F-350  ,            automatic,73419,8900,2001,Ford,F-350
1994,Jeep,Sierra  ,            automatic,NA,13000,1994,Jeep,Sierra
2015,dodge,ram 2500 ,            automatic,NA,49500,2015,dodge,ram 2500
1994,Jeep,Sierra  ,            automatic,NA,13000,1994,Jeep,Sierra
1999,infiniti,qx4  ,            automatic,147000,3700,1999,infiniti,qx4
2004,chevrolet,1500 silverado ,            automatic,NA,4850,2004,chevrolet,1500 silverado
2001,toyota,sequoia sr5 ,            automatic,NA,5800,2001,toyota,sequoia sr5
2002,Chevy,monte carlo ,            automatic,139852,3000,2002,Chevy,monte carlo
1931,Ford,Tudor sedan ,            automatic,NA,26000,1931,Ford,Tudor sedan
1993,Toyota,4runner  ,            manual,174000,3100,1993,Toyota,4runner
1989,chevy,silverado 1500 ,            automatic,NA,1000,1989,chevy,silverado 1500
2001,ford,f150  ,            automatic,NA,1500,2001,ford,f150
