"Year","Make","Model","Price","Trim","Body","Mileage","VIN","TitleType","ExteriorColor","InteriorColor","Transmission","Drive","Cylinders","Horsepower","Torque","PriorUse","EngineLiter"
2014,"Acura","ILX",18998,NA,NA,19000,NA,NA,"Burgundy","Tan","Automatic","2WD",4,"150horsepower@6500rpm","140torque@4300rpm","Fleet",2
2014,"Acura","RLX",24998,NA,NA,21000,NA,NA,"Gray","Black","Automatic","2WD",6,"310horsepower@6500rpm","272torque@4500rpm","Fleet",3.5
2013,"Acura","TL",19599,NA,NA,32000,NA,NA,"Silver","Gray","Automatic","2WD",6,"280horsepower@6200rpm","254torque@5000rpm","Fleet",3.5
2013,"Acura","TL",19599,NA,NA,32000,NA,NA,"Silver","Gray","Automatic","2WD",6,"280horsepower@6200rpm","254torque@5000rpm","Fleet",3.5
2010,"Acura","TL",15599,NA,NA,78000,NA,NA,"Silver","Black","Automatic","2WD",6,"280horsepower@6200rpm","254torque@5000rpm","Fleet",3.5
2014,"Audi","SQ5",42998,"Prestige",NA,26000,NA,NA,"White","Black","Automatic","4WD",6,"354horsepower@6000rpm","347torque@4000rpm","Fleet",3
2014,"Audi","SQ5",42998,"Prestige",NA,26000,NA,NA,"White","Black","Automatic","4WD",6,"354horsepower@6000rpm","347torque@4000rpm","Fleet",3
2013,"BMW","328",19998,"XI",NA,55000,NA,NA,"Gold","Brown","Automatic","4WD",4,"240horsepower@5000rpm","255torque@1250rpm","Fleet",2
2013,"BMW","328",18599,"XI",NA,53000,NA,NA,"White","Tan","Automatic","4WD",4,"240horsepower@5000rpm","255torque@1250rpm","Fleet",2
2013,"BMW","328",18599,"XI",NA,53000,NA,NA,"White","Tan","Automatic","4WD",4,"240horsepower@5000rpm","255torque@1250rpm","Fleet",2
2014,"BMW","X1",28998,"XDrive35i",NA,12000,NA,NA,"Blue","Black","Automatic","4WD",6,"300horsepower@5800rpm","300torque@1300rpm","Fleet",3
2011,"BMW","X3",28998,"XDrive35i",NA,21000,NA,NA,"White","Black","Automatic","4WD",6,"300horsepower@5800rpm","300torque@1300rpm","Fleet",3
2014,"BMW","X6",43998,"XDrive50i",NA,30000,NA,NA,"White","Brown","Automatic","4WD",8,"400horsepower@5500rpm","450torque@1750rpm","Fleet",4.4
2016,"Buick","Enclave",35998,"Leather",NA,13000,NA,NA,"Silver","Black","Automatic","4WD",6,"288horsepower@6300rpm","270torque@3400rpm","Fleet",3.6
2016,"Buick","Enclave",35998,"Leather",NA,10000,NA,NA,"Silver","Black","Automatic","4WD",6,"288horsepower@6300rpm","270torque@3400rpm","Fleet",3.6
2015,"Buick","LaCrosse",19998,"Leather",NA,33000,NA,NA,"Black","Black","Automatic","2WD",6,"303horsepower@6800rpm","264torque@5300rpm","Fleet",3.6
2006,"Buick","Lucerne",10599,"CXL",NA,54000,NA,NA,"Silver","Gray","Automatic","2WD",6,"197horsepower@5200rpm","227torque@3800rpm","Fleet",3.8
